name,country,sports,age,gender,philosophy,ambition,hero,philosophy_lemma,ambition_lemma,hero_list
ALHASAN Fatema,Syrian Arab Republic, Powerlifting,43,Female,You have to use your own special power to be able to achieve what you want.,To win a medal at the 2020 Paralympic Games in Tokyo.,Coach Zaria Balian.,"['-PRON-', 'have', 'to', 'use', '-PRON-', 'own', 'special', 'power', 'to', 'be', 'able', 'to', 'achieve', 'what', '-PRON-', 'want', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Coach Zaria Balian']
ALI Amany,Egypt, Powerlifting,45,Female,none,To compete at the 2020 Paralympic Games in Tokyo.,Egyptian Para powerlifters Fatma Omar and Amany El-Desouky.,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Egyptian Para powerlifters Fatma Omar and Amany El-Desouky']
ALI Ammar,Iraq, Wheelchair Fencing,36,Male,none,To win a gold medal at the 2020 Paralympic Games in Tokyo.,US boxer Muhammad Ali.,['none'],"['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US boxer Muhammad Ali']
ALI Haider,Pakistan, Athletics,36,Male,"[Usain] Bolt has shown the world that nothing is impossible. Despite coming from an unprivileged background, he achieved what nobody else in sprint and track could accomplish. He makes us believe in our dreams and that hard work and perseverance always pay off.",To win a gold medal at the 2020 Paralympic Games in Tokyo.,"Jamaican sprinter Usain Bolt, coach Akbar Ali Mughal.","['[', 'Usain', ']', 'Bolt', 'have', 'show', 'the', 'world', 'that', 'nothing', 'be', 'impossible', '.', 'despite', 'come', 'from', 'an', 'unprivileged', 'background', ',', '-PRON-', 'achieve', 'what', 'nobody', 'else', 'in', 'sprint', 'and', 'track', 'could', 'accomplish', '.', '-PRON-', 'make', '-PRON-', 'believe', 'in', '-PRON-', 'dream', 'and', 'that', 'hard', 'work', 'and', 'perseverance', 'always', 'pay', 'off', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Jamaican sprinter Usain Bolt', 'coach Akbar Ali Mughal']"
ALI Huda,Iraq, Powerlifting,44,Female,none,none,Her sister.,['none'],['none'],['Her sister']
ALI POUR Meisam,Islamic Republic of Iran, Sitting Volleyball,32,Male,Volleyball is my whole life.,To play at four Paralympic Games over the duration of his career.,His daughter.,"['Volleyball', 'be', '-PRON-', 'whole', 'life', '.']","['to', 'play', 'at', 'four', 'Paralympic', 'Games', 'over', 'the', 'duration', 'of', '-PRON-', 'career', '.']",['His daughter']
ALIBASIC Safet,Bosnia and Herzegovina, Sitting Volleyball,38,Male,Never surrender and never give up.,To compete at the 2020 and 2024 Paralympic Games.,none,"['never', 'surrender', 'and', 'never', 'give', 'up', '.']","['to', 'compete', 'at', 'the', '2020', 'and', '2024', 'Paralympic', 'Games', '.']",['none']
ALIBOEVA Vasila,Uzbekistan, Judo,26,Female,none,none,none,['none'],['none'],['none']
ALIEKSEIENKO Oleksandr,Israel, Athletics,37,Male,Don't step back and don't surrender.,To compete at the 2020 Paralympic Games in Tokyo.,Soviet hammer thrower Yuriy Sedykh.,"['do', 'not', 'step', 'back', 'and', 'do', 'not', 'surrender', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Soviet hammer thrower Yuriy Sedykh']
ALIEVA Maliak,RPC, Table Tennis,26,Female,none,To win a medal at the 2020 Paralympic Games in Tokyo.,Russian figure skating coach Eteri Tutberidze.,['none'],"['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Russian figure skating coach Eteri Tutberidze']
ALIM Nur Syahidah,Singapore, Archery,36,Female,Touch the hearts of everyone through extraordinary feats.,To win gold at the 2020 Paralympic Games in Tokyo.,Her mother.,"['touch', 'the', 'heart', 'of', 'everyone', 'through', 'extraordinary', 'feat', '.']","['to', 'win', 'gold', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Her mother']
ALINAJIMI Vahid,Islamic Republic of Iran, Athletics,25,Male,none,To win a gold medal at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ALIPOURIAN Davoud,Islamic Republic of Iran, Sitting Volleyball,36,Male,War to win.,To win gold at the 2020 Paralympic Games in Tokyo.,none,"['war', 'to', 'win', '.']","['to', 'win', 'gold', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ALIYEV Kamil,Azerbaijan, Athletics,29,Male,none,To win a gold medal at the Paralympic Games.,US boxer Muhammad Ali.,['none'],"['to', 'win', 'a', 'gold', 'medal', 'at', 'the', 'Paralympic', 'Games', '.']",['US boxer Muhammad Ali']
ALJNEIBI Sara,United Arab Emirates, Athletics,28,Female,I chose this sport to prove to everyone that people with impairments are strong and can achieve great things.,To win a gold medal at the 2020 Paralympic Games in Tokyo.,"Emirati Para powerlifter Mohammed Khamis Khalaf, Emirati footballer Ismail Matar.","['-PRON-', 'choose', 'this', 'sport', 'to', 'prove', 'to', 'everyone', 'that', 'people', 'with', 'impairment', 'be', 'strong', 'and', 'can', 'achieve', 'great', 'thing', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Emirati Para powerlifter Mohammed Khamis Khalaf', 'Emirati footballer Ismail Matar']"
ALJUMAAH Sarah,Saudi Arabia, Athletics,42,Female,none,none,none,['none'],['none'],['none']
ALJUNEIDI Mutaz Zakaria Daoud,Jordan, Powerlifting,45,Male,Everything is possible.,To win a medal at the 2020 Paralympic Games in Tokyo.,His father.,"['everything', 'be', 'possible', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['His father']
ALKAN Huseyin,Turkey, Goalball,33,Male,none,none,none,['none'],['none'],['none']
ALKEMADE Kimberly,Netherlands, Athletics,31,Female,Fear is a compass pointing you to the areas where you need to grow.,To compete at the 2020 Paralympic Games in Tokyo.,"Dutch Para long jumper and triple jumper Ranki Oberoi, US sprinter and long jumper Tianna Bartoletta, Dutch sprinter Dafne Schippers.","['fear', 'be', 'a', 'compass', 'point', '-PRON-', 'to', 'the', 'area', 'where', '-PRON-', 'need', 'to', 'grow', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Dutch Para long jumper and triple jumper Ranki Oberoi', 'US sprinter and long jumper Tianna Bartoletta', 'Dutch sprinter Dafne Schippers']"
ALKTEBI Noura,United Arab Emirates, Athletics,28,Female,none,To win a gold medal at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ALLAN Gordon,Australia, Cycling Track,23,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ALLARD Danik,Canada, Boccia,20,Male,none,none,none,['none'],['none'],['none']
ALLEN Grant,Australia, Cycling Road,41,Male,Always turn a negative situation into a positive situation.,To compete at the 2020 Paralympic Games in Tokyo.,none,"['always', 'turn', 'a', 'negative', 'situation', 'into', 'a', 'positive', 'situation', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ALMANSOORI Ahmad Mubarak,United Arab Emirates, Cycling Road,40,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
ALMEHAIRI Ayesha,United Arab Emirates, Shooting,45,Female,"Sports mean determination, effort, and training.",To win a medal at the 2020 Paralympic Games in Tokyo.,Coach Mohamed Hussein.,"['sport', 'mean', 'determination', ',', 'effort', ',', 'and', 'training', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Coach Mohamed Hussein']
