name,country,sports,age,gender,philosophy,ambition,hero,philosophy_lemma,ambition_lemma,hero_list
GOLESTANI Hossein,Islamic Republic of Iran, Sitting Volleyball,29,Male,"After I started playing sitting volleyball, my spirit and motivation improved. Impairment has its difficulties, but since I got into volleyball I have gained self-confidence.",To win three Paralympic gold medals during his career.,"His father, and his daughter.","['after', '-PRON-', 'start', 'play', 'sit', 'volleyball', ',', '-PRON-', 'spirit', 'and', 'motivation', 'improve', '.', 'impairment', 'have', '-PRON-', 'difficulty', ',', 'but', 'since', '-PRON-', 'get', 'into', 'volleyball', '-PRON-', 'have', 'gain', 'self', '-', 'confidence', '.']","['to', 'win', 'three', 'paralympic', 'gold', 'medal', 'during', '-PRON-', 'career', '.']","['His father', 'and his daughter']"
GOLUS Michal,Poland, Swimming,25,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GOMES de MENDONCA Ricardo,Brazil, Athletics,31,Male,"Determination, courage and self-confidence are decisive factors for success. If we possess an unshakable determination, we will be able to overcome. Regardless of the circumstances, we must always be humble, modest and without pride.",To compete at the 2020 Paralympic Games in Tokyo.,none,"['determination', ',', 'courage', 'and', 'self', '-', 'confidence', 'be', 'decisive', 'factor', 'for', 'success', '.', 'if', '-PRON-', 'possess', 'an', 'unshakable', 'determination', ',', '-PRON-', 'will', 'be', 'able', 'to', 'overcome', '.', 'regardless', 'of', 'the', 'circumstance', ',', '-PRON-', 'must', 'always', 'be', 'humble', ',', 'modest', 'and', 'without', 'pride', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GOMES Jessica,Brazil, Goalball,28,Female,"Sport for me is what makes us move, what transforms us. It take us all out of the bottom, out of depression, and changes our lives. It's like eating chocolate, that's how it all starts, with a huge joy that invades you.",To compete at the 2020 Paralympic Games in Tokyo.,Brazilian goalball player Ana Carolina Duarte.,"['sport', 'for', '-PRON-', 'be', 'what', 'make', '-PRON-', 'move', ',', 'what', 'transform', '-PRON-', '.', '-PRON-', 'take', '-PRON-', 'all', 'out', 'of', 'the', 'bottom', ',', 'out', 'of', 'depression', ',', 'and', 'change', '-PRON-', 'life', '.', '-PRON-', 'be', 'like', 'eat', 'chocolate', ',', 'that', 'be', 'how', '-PRON-', 'all', 'start', ',', 'with', 'a', 'huge', 'joy', 'that', 'invade', '-PRON-', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Brazilian goalball player Ana Carolina Duarte']
GOMES PESSANHA Michel,Brazil, Rowing,42,Male,none,To win a medal at the 2020 Paralympic Games in Tokyo.,"Brazilian sprint paddler Isaquias Queiroz Dos Santos, Brazilian rower Fabiana Beltrame.",['none'],"['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Brazilian sprint paddler Isaquias Queiroz Dos Santos', 'Brazilian rower Fabiana Beltrame']"
GOMES SANTIAGO Maria Carolina,Brazil, Swimming,36,Female,"For me, swimming has always been a way to overcome my fears.",To compete at the 2020 Paralympic Games in Tokyo.,none,"['for', '-PRON-', ',', 'swimming', 'have', 'always', 'be', 'a', 'way', 'to', 'overcome', '-PRON-', 'fear', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GOMES SOARES Carlos Alberto,Brazil, Cycling Road,26,Male,none,none,none,['none'],['none'],['none']
GOMES SOARES Carlos Alberto,Brazil, Cycling Track,26,Male,none,none,none,['none'],['none'],['none']
GOMEZ COA Juan Sebastian,Colombia, Athletics,21,Male,You should do sports because it is good for everyone. You can be better every time and there is no obstacle that cannot be overcome.,none,Jamaican sprinter Usain Bolt.,"['-PRON-', 'should', 'do', 'sport', 'because', '-PRON-', 'be', 'good', 'for', 'everyone', '.', '-PRON-', 'can', 'be', 'well', 'every', 'time', 'and', 'there', 'be', 'no', 'obstacle', 'that', 'can', 'not', 'be', 'overcome', '.']",['none'],['Jamaican sprinter Usain Bolt']
GOMEZ Joel,United States of America, Athletics,18,Male,No limits.,"To compete at the 2020 Paralympic Games in Tokyo, and to compete as an able-bodied athlete at the 2028 Olympic Games in Los Angeles.","Kenyan athlete Eliud Kipchoge, US athlete Matthew Centrowitz, Brazilian athlete and coach Joaquim Cruz.","['no', 'limit', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', ',', 'and', 'to', 'compete', 'as', 'an', 'able', '-', 'bodied', 'athlete', 'at', 'the', '2028', 'Olympic', 'Games', 'in', 'Los', 'Angeles', '.']","['Kenyan athlete Eliud Kipchoge', 'US athlete Matthew Centrowitz', 'Brazilian athlete and coach Joaquim Cruz']"
GOMEZ Maximiliano Ramon,Argentina, Cycling Road,42,Male,none,To finish in the top eight at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'finish', 'in', 'the', 'top', 'eight', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GOMEZ Maximiliano Ramon,Argentina, Cycling Track,42,Male,none,To finish in the top eight at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'finish', 'in', 'the', 'top', 'eight', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GONCALVES Cristina,Portugal, Boccia,43,Female,I like to fight and to take risks in the game.,none,British boccia player Nigel Murray.,"['-PRON-', 'like', 'to', 'fight', 'and', 'to', 'take', 'risk', 'in', 'the', 'game', '.']",['none'],['British boccia player Nigel Murray']
GONCALVES Jeferson,Brazil, Football 5-a-side,31,Male,Never give up on a dream.,To win gold at the 2020 Paralympic Games in Tokyo.,"Brazilian Para footballer Mizael Conrado, Brazilian footballer Ronaldinho Gaucho.","['never', 'give', 'up', 'on', 'a', 'dream', '.']","['to', 'win', 'gold', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Brazilian Para footballer Mizael Conrado', 'Brazilian footballer Ronaldinho Gaucho']"
GONCALVES Luan,Brazil, Football 5-a-side,28,Male,none,none,none,['none'],['none'],['none']
GONCALVES RODRIGUES Vinicius,Brazil, Athletics,26,Male,Live without limits.,"To become a world and Paralympic champion and to compete at the 2020, 2024 and 2028 Paralympic Games.",Brazilian Formula One driver Ayrton Senna.,"['live', 'without', 'limit', '.']","['to', 'become', 'a', 'world', 'and', 'paralympic', 'champion', 'and', 'to', 'compete', 'at', 'the', '2020', ',', '2024', 'and', '2028', 'Paralympic', 'Games', '.']",['Brazilian Formula One driver Ayrton Senna']
GONCALVES SILVA Ruiter Antonio,Brazil, Swimming,28,Male,"If you can imagine it, you can do it.",To win a gold medal at the 2020 Paralympic Games in Tokyo.,US swimmer Michael Phelps.,"['if', '-PRON-', 'can', 'imagine', '-PRON-', ',', '-PRON-', 'can', 'do', '-PRON-', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US swimmer Michael Phelps']
GONCHAROVA Margarita,RPC, Athletics,30,Female,none,none,"Her husband Ivan Goncharov, Russian sprinter Aleksandra Antonova, Jamaican sprinter Usain Bolt, Russian pole vaulter Yelena Isinbaeva.",['none'],['none'],"['Her husband Ivan Goncharov', 'Russian sprinter Aleksandra Antonova', 'Jamaican sprinter Usain Bolt', 'Russian pole vaulter Yelena Isinbaeva']"
GONCIN Nikola,Canada, Wheelchair Basketball,29,Male,Excellence is not an act but a habit. [Aristotle],none,His father.,"['excellence', 'be', 'not', 'an', 'act', 'but', 'a', 'habit', '.', '[', 'Aristotle', ']']",['none'],['His father']
GONG Bin,People's Republic of China, Sitting Volleyball,40,Female,none,none,none,['none'],['none'],['none']
GONG Xiao,United States of America, Shooting,23,Male,none,none,none,['none'],['none'],['none']
GONTAR Anastasiia,RPC, Swimming,20,Female,Do not give in to difficulties. Overcome all obstacles.,To compete at the 2020 Paralympic Games in Tokyo.,US swimmer Katie Ledecky.,"['do', 'not', 'give', 'in', 'to', 'difficulty', '.', 'overcome', 'all', 'obstacle', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US swimmer Katie Ledecky']
GONZALEZ Cristian,Chile, Table Tennis,41,Male,"Where there is a will, there is a way.","To compete at the 2020 Paralympic Games in Tokyo, and to be ranked among the top five players in the world.",Chinese table tennis player Ma Long.,"['where', 'there', 'be', 'a', 'will', ',', 'there', 'be', 'a', 'way', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', ',', 'and', 'to', 'be', 'rank', 'among', 'the', 'top', 'five', 'player', 'in', 'the', 'world', '.']",['Chinese table tennis player Ma Long']
GONZALEZ HENRIQUEZ Norkelys del Ca.,Venezuela, Athletics,26,Female,none,To compete at the 2020 Paralympic Games in Tokyo.,Spanish tennis player Rafael Nadal.,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Spanish tennis player Rafael Nadal']
GONZALEZ Ixhelt,United States of America, Wheelchair Basketball,17,Female,none,none,none,['none'],['none'],['none']
GONZALEZ Laura,Argentina, Judo,29,Female,"The mind is like a parachute, it only works when it is open.",none,none,"['the', 'mind', 'be', 'like', 'a', 'parachute', ',', '-PRON-', 'only', 'work', 'when', '-PRON-', 'be', 'open', '.']",['none'],['none']
GONZALEZ RODRIGUEZ Laura Carolina,Colombia, Swimming,22,Female,Dare to dream because dreams can become real. Never give up even if things seem difficult. Faith and confidence can make you a champion.,To compete at the 2020 Paralympic Games in Tokyo.,"Colombian Para swimmer Carlos Serrano Zarate, US swimmer Michael Phelps.","['dare', 'to', 'dream', 'because', 'dream', 'can', 'become', 'real', '.', 'never', 'give', 'up', 'even', 'if', 'thing', 'seem', 'difficult', '.', 'faith', 'and', 'confidence', 'can', 'make', '-PRON-', 'a', 'champion', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Colombian Para swimmer Carlos Serrano Zarate', 'US swimmer Michael Phelps']"
GONZALEZ SAUCEDA Jorge Benjamin,Mexico, Athletics,27,Male,Do not leave for tomorrow what you can do today.,To win a medal at the 2020 Paralympic Games in Tokyo.,Jamaican sprinter Usain Bolt.,"['do', 'not', 'leave', 'for', 'tomorrow', 'what', '-PRON-', 'can', 'do', 'today', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Jamaican sprinter Usain Bolt']
GONZALEZ Sofia,Switzerland, Athletics,20,Female,My difference is my attitude.,To compete at the 2020 Paralympic Games in Tokyo. Her long-term goal is to win a medal at the 2024 Paralympic Games in Paris.,German Para sprinter Johannes Floors.,"['-PRON-', 'difference', 'be', '-PRON-', 'attitude', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.', '-PRON-', 'long', '-', 'term', 'goal', 'be', 'to', 'win', 'a', 'medal', 'at', 'the', '2024', 'Paralympic', 'Games', 'in', 'Paris', '.']",['German Para sprinter Johannes Floors']
GOODKIND Laura,United States of America, Rowing,35,Female,"When I'm rowing, it's the only time I feel like my body is fully engaged. It teaches me how to adapt to my circumstances, both on and off the water, and gives me the drive that I need to overcome whatever life throws my way.",To compete at the 2020 Paralympic Games in Tokyo.,US basketballer Michael Jordan.,"['when', '-PRON-', 'be', 'row', ',', '-PRON-', 'be', 'the', 'only', 'time', '-PRON-', 'feel', 'like', '-PRON-', 'body', 'be', 'fully', 'engage', '.', '-PRON-', 'teach', '-PRON-', 'how', 'to', 'adapt', 'to', '-PRON-', 'circumstance', ',', 'both', 'on', 'and', 'off', 'the', 'water', ',', 'and', 'give', '-PRON-', 'the', 'drive', 'that', '-PRON-', 'need', 'to', 'overcome', 'whatever', 'life', 'throw', '-PRON-', 'way', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US basketballer Michael Jordan']
GOODRICH Ben,United States of America, Judo,28,Male,I am passionate about being the best I can be. I push myself to the limits in sport. I hit speed bumps along the way but they don't hold me back. I am a hard working individual that brings a lively 'can do' attitude to any place I go.,To compete at the 2020 Paralympic Games in Tokyo.,none,"['-PRON-', 'be', 'passionate', 'about', 'be', 'the', 'good', '-PRON-', 'can', 'be', '.', '-PRON-', 'push', '-PRON-', 'to', 'the', 'limit', 'in', 'sport', '.', '-PRON-', 'hit', 'speed', 'bump', 'along', 'the', 'way', 'but', '-PRON-', 'do', 'not', 'hold', '-PRON-', 'back', '.', '-PRON-', 'be', 'a', 'hard', 'working', 'individual', 'that', 'bring', 'a', 'lively', ""'"", 'can', 'do', ""'"", 'attitude', 'to', 'any', 'place', '-PRON-', 'go', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GORANOVIC Marijana,Montenegro, Athletics,32,Female,Believing in yourself is the secret to success.,To compete at the 2020 Paralympic Games in Tokyo.,New Zealand shot putter Valerie Adams.,"['believe', 'in', '-PRON-', 'be', 'the', 'secret', 'to', 'success', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['New Zealand shot putter Valerie Adams']
GORCZAK Bartosz,Poland, Athletics,33,Male,Life belongs to those who believe in the beauty of their dreams.,none,none,"['life', 'belong', 'to', 'those', 'who', 'believe', 'in', 'the', 'beauty', 'of', '-PRON-', 'dream', '.']",['none'],['none']
GORDIYCHUK Yuliya,Israel, Swimming,23,Female,Just swim through it.,To compete at the 2020 Paralympic Games in Tokyo.,none,"['just', 'swim', 'through', '-PRON-', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GORDON Martin,Ireland, Cycling Road,36,Male,none,To win a medal at the Paralympic Games or world championships.,British politician Winston Churchill.,['none'],"['to', 'win', 'a', 'medal', 'at', 'the', 'Paralympic', 'Games', 'or', 'world', 'championship', '.']",['British politician Winston Churchill']
GORDON Martin,Ireland, Cycling Track,36,Male,none,To win a medal at the Paralympic Games or world championships.,British politician Winston Churchill.,['none'],"['to', 'win', 'a', 'medal', 'at', 'the', 'Paralympic', 'Games', 'or', 'world', 'championship', '.']",['British politician Winston Churchill']
GORE Jonathan,United States of America, Athletics,26,Male,My story is my motivation.,To compete at the 2020 Paralympic Games in Tokyo.,none,"['-PRON-', 'story', 'be', '-PRON-', 'motivation', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GOREN SHTOUK Simona,Israel, Rowing,39,Female,none,none,none,['none'],['none'],['none']
GORLOVA Elena,RPC, Athletics,40,Female,"Sport has been my life since childhood. I do not like to be last, and second place is last for me.","To set a world record, and to compete at the 2020 Paralympic Games in Tokyo.",Rock climbing coach Svetlana Zolotaryova.,"['Sport', 'have', 'be', '-PRON-', 'life', 'since', 'childhood', '.', '-PRON-', 'do', 'not', 'like', 'to', 'be', 'last', ',', 'and', 'second', 'place', 'be', 'last', 'for', '-PRON-', '.']","['to', 'set', 'a', 'world', 'record', ',', 'and', 'to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Rock climbing coach Svetlana Zolotaryova']
GORODETZKY Nina,Israel, Badminton,40,Female,none,none,"US gymnast Simone Biles, US swimmer Michael Phelps, US basketball player Kobe Bryant.",['none'],['none'],"['US gymnast Simone Biles', 'US swimmer Michael Phelps', 'US basketball player Kobe Bryant']"
GOUWS Liezel,South Africa, Athletics,22,Female,Go confidently in the direction of your dreams and live the life you've imagined. Never give up.,none,US sprinter Allyson Felix.,"['go', 'confidently', 'in', 'the', 'direction', 'of', '-PRON-', 'dream', 'and', 'live', 'the', 'life', '-PRON-', 'have', 'imagine', '.', 'never', 'give', 'up', '.']",['none'],['US sprinter Allyson Felix']
GOVERDHAN Palesha,Nepal, Taekwondo,18,Female,none,none,none,['none'],['none'],['none']
GOVERNO Edmilsa,Mozambique, Athletics,23,Female,Time is my biggest rival.,To win a gold medal at the Paralympic Games.,Mozambican middle distance runner Maria de Lurdes Mutola.,"['Time', 'be', '-PRON-', 'big', 'rival', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', 'Paralympic', 'Games', '.']",['Mozambican middle distance runner Maria de Lurdes Mutola']
GRACHAT David,Portugal, Swimming,34,Male,Do yourself a favour and be happy.,To compete at the 2020 Paralympic Games in Tokyo.,US swimmer Michael Phelps.,"['do', '-PRON-', 'a', 'favour', 'and', 'be', 'happy', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US swimmer Michael Phelps']
GRADECAK Ana,Croatia, Athletics,31,Female,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRAF Sandra,Switzerland, Cycling Road,51,Female,"Sport is the best school of life. Nothing will work without discipline, fighting spirit, stamina or competition.",none,none,"['Sport', 'be', 'the', 'good', 'school', 'of', 'life', '.', 'nothing', 'will', 'work', 'without', 'discipline', ',', 'fight', 'spirit', ',', 'stamina', 'or', 'competition', '.']",['none'],['none']
GRAHAM Finlay,Great Britain, Cycling Road,21,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRAHAM Finlay,Great Britain, Cycling Track,21,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRAHAM Shae,Australia, Wheelchair Rugby,34,Female,"Sport was a big part of my identity when I was a kid, but I had the car accident and I took that as a sign that sport wasn't meant to be. I viewed it as my retirement from sport. But when I decided to overcome my fear and try wheelchair rugby, I hopped in the chair and I loved every second of it. My competitive side was immediately awoken again, I wanted to play and win. There was this team vibe I'd been missing for years and it was amazing. But it wasn't just the sport, it was the community around the sport that made me love it as well.","To compete at the 2020 Paralympic Games in Tokyo. Outside of sport, she aspires to open her own bookshop.",Australian sprinter Cathy Freeman.,"['Sport', 'be', 'a', 'big', 'part', 'of', '-PRON-', 'identity', 'when', '-PRON-', 'be', 'a', 'kid', ',', 'but', '-PRON-', 'have', 'the', 'car', 'accident', 'and', '-PRON-', 'take', 'that', 'as', 'a', 'sign', 'that', 'sport', 'be', 'not', 'mean', 'to', 'be', '.', '-PRON-', 'view', '-PRON-', 'as', '-PRON-', 'retirement', 'from', 'sport', '.', 'but', 'when', '-PRON-', 'decide', 'to', 'overcome', '-PRON-', 'fear', 'and', 'try', 'wheelchair', 'rugby', ',', '-PRON-', 'hop', 'in', 'the', 'chair', 'and', '-PRON-', 'love', 'every', 'second', 'of', '-PRON-', '.', '-PRON-', 'competitive', 'side', 'be', 'immediately', 'awake', 'again', ',', '-PRON-', 'want', 'to', 'play', 'and', 'win', '.', 'there', 'be', 'this', 'team', 'vibe', '-PRON-', 'would', 'be', 'miss', 'for', 'year', 'and', '-PRON-', 'be', 'amazing', '.', 'but', '-PRON-', 'be', 'not', 'just', 'the', 'sport', ',', '-PRON-', 'be', 'the', 'community', 'around', 'the', 'sport', 'that', 'make', '-PRON-', 'love', '-PRON-', 'as', 'well', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.', 'outside', 'of', 'sport', ',', '-PRON-', 'aspire', 'to', 'open', '-PRON-', 'own', 'bookshop', '.']",['Australian sprinter Cathy Freeman']
GRANADOS Joymar,Colombia, Wheelchair Basketball,26,Male,Have a winning mentality.,To compete at the 2020 Paralympic Games in Tokyo.,Colombian wheelchair basketballer Jhon Hernandez.,"['have', 'a', 'win', 'mentality', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Colombian wheelchair basketballer Jhon Hernandez']
GRANICHKA Andrei,RPC, Swimming,24,Male,none,To win gold at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'gold', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRANT Sylvia,Jamaica, Athletics,58,Female,Age is just a number.,"To compete at the 2020 Paralympic Games in Tokyo, which will be her eighth Paralympic Games.",Jamaican sprinter Usain Bolt.,"['age', 'be', 'just', 'a', 'number', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', ',', 'which', 'will', 'be', '-PRON-', 'eighth', 'Paralympic', 'Games', '.']",['Jamaican sprinter Usain Bolt']
GRANT-STUART Walter,Guyana, Cycling Road,36,Male,none,To win gold at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'win', 'gold', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GREAVES Dan,Great Britain, Athletics,38,Male,Quitters never win and winners never quit.,To win a medal at the 2020 Paralympic Games in Tokyo.,German discus thrower Lars Riedel.,"['quitter', 'never', 'win', 'and', 'winner', 'never', 'quit', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['German discus thrower Lars Riedel']
GREBE Stephanie,Germany, Table Tennis,33,Female,Fight.,To win a medal at the 2020 Paralympic Games in Tokyo.,none,"['fight', '.']","['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRECO Paige,Australia, Cycling Road,24,Female,You don't know what you're capable of until you're in the moment.,To win a medal at the Paralympic Games.,"Australian Para athlete Kelly Cartwright, Australian Para cyclist Felicity Johnson.","['-PRON-', 'do', 'not', 'know', 'what', '-PRON-', 'be', 'capable', 'of', 'until', '-PRON-', 'be', 'in', 'the', 'moment', '.']","['to', 'win', 'a', 'medal', 'at', 'the', 'Paralympic', 'Games', '.']","['Australian Para athlete Kelly Cartwright', 'Australian Para cyclist Felicity Johnson']"
GRECO Paige,Australia, Cycling Track,24,Female,You don't know what you're capable of until you're in the moment.,To win a medal at the Paralympic Games.,"Australian Para athlete Kelly Cartwright, Australian Para cyclist Felicity Johnson.","['-PRON-', 'do', 'not', 'know', 'what', '-PRON-', 'be', 'capable', 'of', 'until', '-PRON-', 'be', 'in', 'the', 'moment', '.']","['to', 'win', 'a', 'medal', 'at', 'the', 'Paralympic', 'Games', '.']","['Australian Para athlete Kelly Cartwright', 'Australian Para cyclist Felicity Johnson']"
GREEN Byron,Canada, Wheelchair Rugby,37,Male,none,none,none,['none'],['none'],['none']
GREEN Deion,Canada, Wheelchair Basketball,31,Male,"No pain, no gain.",To compete at the 2020 Paralympic Games in Tokyo.,His father.,"['no', 'pain', ',', 'no', 'gain', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['His father']
GREENWOOD Jasmine,Australia, Swimming,16,Female,"I like being competitive, being good at something, like particularly good.",To compete at the 2020 Paralympic Games in Tokyo.,Australian Para swimmer Ellie Cole.,"['-PRON-', 'like', 'be', 'competitive', ',', 'be', 'good', 'at', 'something', ',', 'like', 'particularly', 'good', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Australian Para swimmer Ellie Cole']
GRETSCH Kendall,United States of America, Triathlon,29,Female,none,"To win a medal at the 2020 Paralympic Games in Tokyo, and to compete at the 2022 Paralympic Winter Games in Beijing.",US Para cross-country skier and rower Oksana Masters.,['none'],"['to', 'win', 'a', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', ',', 'and', 'to', 'compete', 'at', 'the', '2022', 'Paralympic', 'Winter', 'Games', 'in', 'Beijing', '.']",['US Para cross-country skier and rower Oksana Masters']
GREWE Sam,United States of America, Athletics,23,Male,The only thing to fear is fear itself.,"To work in the field of prosthetic development, and to compete at the 2020 Paralympic Games in Tokyo.","Canadian high jumper Derek Drouin, US basketball player Russell Westbrook.","['the', 'only', 'thing', 'to', 'fear', 'be', 'fear', '-PRON-', '.']","['to', 'work', 'in', 'the', 'field', 'of', 'prosthetic', 'development', ',', 'and', 'to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Canadian high jumper Derek Drouin', 'US basketball player Russell Westbrook']"
GRIGORYEV Dmitry,RPC, Swimming,29,Male,"Citius, altius, fortius.",To compete at the 2020 Paralympic Games in Tokyo.,Russian swimmer Alexander Popov.,"['Citius', ',', 'altius', ',', 'fortius', '.']","['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Russian swimmer Alexander Popov']
GRIMALDI Anna,New Zealand, Athletics,24,Female,Give 100% every time you are on the track.,To win a gold medal at the 2020 Paralympic Games in Tokyo.,Her sister Abby.,"['give', '100', '%', 'every', 'time', '-PRON-', 'be', 'on', 'the', 'track', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['Her sister Abby']
GRIMES Kylie,Great Britain, Wheelchair Rugby,33,Female,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRIMES Ronan,Ireland, Cycling Road,32,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRIMES Ronan,Ireland, Cycling Track,32,Male,none,To compete at the 2020 Paralympic Games in Tokyo.,none,['none'],"['to', 'compete', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['none']
GRISALES Euclides,Colombia, Boccia,31,Male,none,none,none,['none'],['none'],['none']
GRISWOLD Robert,United States of America, Swimming,24,Male,Don't give up on yourself. Just because you're at a disadvantage doesn't mean you should look at yourself that way.,To win medals at the 2020 Paralympic Games in Tokyo.,US swimmer Aaron Peirsol.,"['do', 'not', 'give', 'up', 'on', '-PRON-', '.', 'just', 'because', '-PRON-', 'be', 'at', 'a', 'disadvantage', 'do', 'not', 'mean', '-PRON-', 'should', 'look', 'at', '-PRON-', 'that', 'way', '.']","['to', 'win', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']",['US swimmer Aaron Peirsol']
GRITSCH Alexander,Austria, Cycling Road,39,Male,"Nobody can guarantee that you will achieve your goal, but if you give up, you definitely won't.",none,none,"['nobody', 'can', 'guarantee', 'that', '-PRON-', 'will', 'achieve', '-PRON-', 'goal', ',', 'but', 'if', '-PRON-', 'give', 'up', ',', '-PRON-', 'definitely', 'will', 'not', '.']",['none'],['none']
GRITSENKO Vitalii,RPC, Athletics,35,Male,"Sport gives you strength, strength gives you confidence, confidence makes you successful.",To win a gold medal at the 2020 Paralympic Games in Tokyo.,"Swiss wheelchair racer Marcel Hug, French biathlete Martin Fourcade.","['Sport', 'give', '-PRON-', 'strength', ',', 'strength', 'give', '-PRON-', 'confidence', ',', 'confidence', 'make', '-PRON-', 'successful', '.']","['to', 'win', 'a', 'gold', 'medal', 'at', 'the', '2020', 'Paralympic', 'Games', 'in', 'Tokyo', '.']","['Swiss wheelchair racer Marcel Hug', 'French biathlete Martin Fourcade']"
GRIZANTE Andre Luiz,Brazil, Cycling Road,44,Male,none,none,none,['none'],['none'],['none']
GRIZANTE Andre Luiz,Brazil, Cycling Track,44,Male,none,none,none,['none'],['none'],['none']
